record_id	topic_id
5816	0
5817	0
5818	0
5819	0
5810	1
5811	0
5812	0
5813	0
5814	1
5815	0
5827	0
5828	1
5829	0
5820	0
5821	1
5822	0
5823	0
5824	0
5825	0
5826	0
5840	0
5838	0
5839	0
5830	0
5831	1
5832	1
5833	0
5834	0
5835	1
5836	1
5837	1
5850	0
5851	0
5607	1
5849	0
5608	1
5609	0
5841	0
5600	0
5842	0
5601	0
5843	0
5602	0
5844	0
5603	0
5845	0
5604	1
5846	0
5605	0
5847	0
5606	0
5848	0
5860	0
5861	2
5620	0
5862	0
5618	0
5619	1
5610	0
5852	0
5611	1
5853	1
5612	0
5854	0
5613	0
5855	0
5614	0
5856	1
5615	0
5857	0
5616	1
5858	0
5617	1
5859	0
5870	0
5871	1
5630	0
5872	1
5631	1
5873	0
5629	1
5621	1
5863	1
5622	0
5864	2
5623	0
5865	1
5624	1
5866	0
5625	0
5867	0
5626	1
5868	1
5627	2
5869	1
5628	1
5880	0
5881	0
5640	0
5882	1
5641	1
5883	0
5400	1
5642	0
5884	0
5632	0
5874	0
5633	0
5875	0
5634	1
5876	1
5635	0
5877	0
5636	0
5878	0
5637	2
5879	0
5638	1
5639	1
5890	1
5891	0
5650	0
5892	0
5651	0
5893	1
5410	1
5652	0
5894	0
5411	2
5653	1
5895	0
5409	1
5401	0
5643	0
5885	0
5402	1
5644	0
5886	1
5403	0
5645	0
5887	1
5404	0
5646	1
5888	0
5405	0
5647	0
5889	0
5406	0
5648	0
5407	1
5649	0
5408	1
5660	0
5661	1
5420	1
5662	1
5421	1
5663	0
5422	0
5664	0
5412	0
5654	1
5896	2
5413	1
5655	0
5897	0
5414	0
5656	1
5898	0
5415	1
5657	0
5899	1
5416	0
5658	0
5417	1
5659	1
5418	0
5419	0
5670	1
5671	0
5430	0
5672	1
5431	0
5673	0
5432	0
5674	1
5433	0
5675	1
5423	0
5665	1
5424	0
5666	1
5425	1
5667	1
5426	0
5668	0
5427	1
5669	1
5428	0
5429	0
5680	0
5681	2
5440	0
5682	0
5441	0
5683	0
5200	0
5442	1
5684	1
5201	2
5443	0
5685	0
5202	0
5444	0
5686	0
5434	0
5676	0
5435	0
5677	0
5436	0
5678	0
5437	2
5679	0
5438	1
5439	0
5690	0
5691	1
5450	0
5692	2
5451	0
5693	0
5210	0
5452	1
5694	1
5211	1
5453	1
5695	0
5212	0
5454	1
5696	1
5213	0
5455	1
5697	0
5203	1
5445	0
5687	1
5204	0
5446	0
5688	1
5205	0
5447	0
5689	0
5206	0
5448	1
5207	0
5449	1
5208	0
5209	0
5460	0
5461	1
5220	0
5462	0
5221	0
5463	0
5222	0
5464	0
5223	1
5465	0
5224	0
5466	0
5214	0
5456	0
5698	1
5215	1
5457	0
5699	1
5216	0
5458	1
5217	0
5459	0
5218	0
5219	1
5470	1
5471	1
5230	0
5472	0
5231	0
5473	0
5232	2
5474	0
5233	1
5475	0
5234	0
5476	1
5235	0
5477	0
5225	1
5467	1
5226	1
5468	1
5227	1
5469	1
5228	0
5229	1
5481	1
5240	0
5482	0
5241	1
5483	1
5242	0
5484	1
5001	1
5243	0
5485	1
5002	1
5244	0
5486	1
5003	0
5245	0
5487	0
5004	2
5246	0
5488	0
5480	0
5236	0
5478	0
5237	1
5479	1
5238	0
5239	0
5250	0
5492	1
5251	0
5493	1
5010	0
5252	0
5494	0
6100	0
5011	0
5253	1
5495	1
5012	0
5254	1
5496	0
6102	0
5013	1
5255	0
5497	0
6101	1
5014	0
5256	0
5498	2
6104	1
5015	0
5257	1
5499	0
6103	0
5490	1
5491	1
5005	0
5247	0
5489	0
5006	0
5248	1
5007	1
5249	2
5008	0
5009	1
5261	0
5020	1
5262	1
5021	0
5263	0
6111	0
5022	0
5264	0
6110	0
5023	1
5265	0
6113	1
5024	0
5266	0
6112	1
5025	1
5267	1
6115	0
5026	0
5268	1
6114	0
5260	1
5016	0
5258	0
6106	1
5017	1
5259	0
6105	0
5018	0
6108	1
5019	0
6107	1
6109	0
5030	0
5272	1
6120	1
5031	0
5273	0
5032	0
5274	0
6122	0
5033	1
5275	1
6121	0
5034	0
5276	0
6124	2
5035	0
5277	0
6123	1
5036	1
5278	1
5037	1
5279	0
6125	1
5270	1
5271	1
5027	0
5269	1
6117	0
5028	1
6116	0
5029	0
6119	0
6118	0
5041	0
5283	0
5042	0
5284	0
5043	0
5285	1
5044	0
5286	1
5045	1
5287	0
5046	0
5288	0
5047	0
5289	0
5048	0
5280	1
5281	0
5040	0
5282	0
5038	0
5039	0
5052	0
5294	0
5053	0
5295	1
5054	1
5296	0
5055	0
5297	0
5056	1
5298	0
5057	0
5299	0
5058	1
5059	0
5290	1
5291	0
5050	1
5292	0
5051	0
5293	0
5049	0
5063	0
5064	0
5065	2
5066	0
5067	0
5068	1
5069	0
5060	0
5061	1
5062	1
5074	1
5075	1
5076	0
5077	1
5078	0
5079	0
5070	1
5071	0
5072	0
5073	0
5085	1
5086	1
5087	0
5088	0
5089	1
5080	1
5081	0
5082	0
5083	1
5084	1
5096	0
5097	1
5098	0
5099	1
5090	0
5091	1
5092	0
5093	0
5094	0
5095	0
5904	0
5905	0
5906	0
5907	1
5908	0
5909	1
5900	0
5901	0
5902	0
5903	0
5915	0
5916	0
5917	0
5918	1
5919	1
5910	0
5911	1
5912	0
5913	1
5914	0
5926	1
5927	1
5928	1
5929	0
5920	1
5921	0
5922	0
5923	1
5924	1
5925	1
5937	0
5938	0
5939	1
5930	2
5931	0
5932	0
5933	1
5934	1
5935	0
5936	0
5950	0
5706	0
5948	1
5707	1
5949	0
5708	0
5709	0
5940	0
5941	0
5700	1
5942	1
5701	1
5943	1
5702	1
5944	0
5703	1
5945	0
5704	0
5946	0
5705	0
5947	1
5960	1
5961	0
5717	0
5959	1
5718	0
5719	1
5951	0
5710	0
5952	0
5711	0
5953	0
5712	1
5954	0
5713	0
5955	1
5714	0
5956	0
5715	1
5957	0
5716	0
5958	0
5970	0
5971	0
5730	2
5972	0
5728	0
5729	0
5720	0
5962	1
5721	1
5963	1
5722	0
5964	0
5723	1
5965	0
5724	2
5966	0
5725	0
5967	0
5726	0
5968	1
5727	1
5969	0
5980	2
5981	0
5740	0
5982	1
5741	0
5983	1
5739	1
5731	0
5973	0
5732	0
5974	0
5733	0
5975	0
5734	0
5976	0
5735	1
5977	0
5736	0
5978	0
5737	1
5979	0
5738	0
5990	1
5991	0
5750	1
5992	1
5751	0
5993	1
5510	1
5752	0
5994	0
5508	0
5509	0
5500	1
5742	0
5984	0
5501	0
5743	1
5985	0
5502	1
5744	0
5986	0
5503	1
5745	1
5987	1
5504	1
5746	0
5988	1
5505	1
5747	2
5989	1
5506	0
5748	0
5507	0
5749	0
5760	0
5761	0
5520	0
5762	0
5521	0
5763	0
5519	1
5511	0
5753	0
5995	0
5512	0
5754	1
5996	0
5513	1
5755	1
5997	0
5514	0
5756	0
5998	0
5515	1
5757	1
5999	1
5516	0
5758	0
5517	0
5759	0
5518	1
5770	0
5771	0
5530	0
5772	0
5531	0
5773	1
5532	1
5774	0
5522	1
5764	0
5523	0
5765	0
5524	0
5766	0
5525	0
5767	0
5526	0
5768	1
5527	0
5769	0
5528	2
5529	1
5780	1
5781	0
5540	0
5782	0
5541	1
5783	0
5300	1
5542	0
5784	1
5301	2
5543	0
5785	0
5533	0
5775	0
5534	0
5776	0
5535	0
5777	1
5536	0
5778	0
5537	0
5779	1
5538	0
5539	1
5790	0
5791	1
5550	0
5792	0
5551	0
5793	0
5310	1
5552	0
5794	1
5311	0
5553	2
5795	0
5312	0
5554	0
5796	1
5302	1
5544	1
5786	0
5303	0
5545	0
5787	0
5304	0
5546	0
5788	0
5305	0
5547	1
5789	0
5306	0
5548	1
5307	0
5549	0
5308	0
5309	1
5560	2
5561	0
5320	0
5562	0
5321	1
5563	0
5322	2
5564	0
5323	0
5565	0
5313	2
5555	1
5797	0
5314	0
5556	1
5798	0
5315	1
5557	0
5799	1
5316	2
5558	0
5317	0
5559	1
5318	0
5319	1
5570	0
5571	0
5330	0
5572	0
5331	0
5573	0
5332	0
5574	1
5333	0
5575	1
5334	0
5576	0
5324	0
5566	0
5325	0
5567	0
5326	0
5568	1
5327	1
5569	0
5328	1
5329	1
5580	1
5581	1
5340	0
5582	0
5341	0
5583	1
5100	0
5342	0
5584	1
5101	0
5343	0
5585	0
5102	1
5344	0
5586	1
5103	0
5345	1
5587	0
5335	0
5577	1
5336	1
5578	1
5337	0
5579	1
5338	2
5339	1
5591	0
5350	1
5592	1
5351	1
5593	1
5110	0
5352	0
5594	0
5111	0
5353	0
5595	0
5112	2
5354	1
5596	1
5113	0
5355	0
5597	0
5114	0
5356	1
5598	0
5590	2
5104	0
5346	1
5588	0
5105	1
5347	1
5589	0
5106	1
5348	1
5107	1
5349	0
5108	1
5109	0
5360	0
5361	1
5120	1
5362	0
5121	1
5363	0
5122	1
5364	0
5123	2
5365	0
5124	1
5366	0
5125	0
5367	1
5115	1
5357	0
5599	0
5116	0
5358	0
5117	0
5359	1
5118	0
5119	1
5371	2
5130	0
5372	0
5131	1
5373	1
5132	0
5374	1
5133	1
5375	0
5134	0
5376	0
5135	2
5377	2
5136	0
5378	0
5370	0
5126	0
5368	1
5127	1
5369	1
5128	0
5129	0
5140	0
5382	1
5141	0
5383	1
5142	0
5384	0
5143	1
5385	0
5144	0
5386	0
5145	0
5387	0
5146	0
5388	0
5147	1
5389	2
5380	2
5381	2
5137	2
5379	1
5138	0
5139	0
5151	2
5393	1
5152	0
5394	0
5153	0
5395	0
6001	0
5154	0
5396	0
6000	1
5155	0
5397	1
6003	0
5156	1
5398	0
6002	0
5157	1
5399	0
6005	2
5158	0
6004	0
5390	0
5391	2
5150	0
5392	0
5148	0
5149	0
5162	1
6010	0
5163	0
5164	0
6012	1
5165	1
6011	0
5166	1
6014	1
5167	1
6013	1
5168	0
6016	0
5169	0
6015	1
5160	0
5161	1
5159	1
6007	1
6006	0
6009	2
6008	1
5173	0
6021	0
5174	0
6020	1
5175	1
6023	0
5176	1
6022	0
5177	0
6025	1
5178	0
6024	0
5179	0
6027	0
6026	1
5170	1
5171	0
5172	0
6018	0
6017	1
6019	1
5184	0
6032	0
5185	0
6031	1
5186	0
6034	0
5187	0
6033	0
5188	0
6036	1
5189	1
6035	0
6038	2
6037	1
5180	0
5181	1
5182	0
6030	0
5183	0
6029	0
6028	0
5195	0
6043	1
5196	0
6042	1
5197	1
6045	0
5198	0
6044	0
5199	0
6047	0
6046	1
6049	1
6048	0
5190	1
5191	0
5192	2
5193	1
6041	0
5194	1
6040	0
6039	0
6054	0
6053	0
6056	0
6055	1
6058	0
6057	0
6059	0
6050	0
6052	0
6051	2
6065	1
6064	0
6067	0
6066	0
6069	0
6068	0
6061	1
6060	0
6063	2
6062	0
6076	0
6075	0
6078	0
6077	0
6079	0
6070	1
6072	0
6071	1
6074	0
6073	1
6087	0
6086	0
6089	0
6088	2
6081	0
6080	0
6083	1
6082	1
6085	0
6084	0
6098	0
6097	0
6099	0
6090	1
6092	1
6091	2
6094	0
6093	0
6096	1
6095	1
5805	0
5806	0
5807	1
5808	1
5809	0
5800	1
5801	2
5802	1
5803	1
5804	1
